id,text,entities,relations,Comments
58,"Figure 2: Price of bitcoin in U.S. dollars from CoinMarketCap  While botnets mining cryptocurrency is nothing new, the technique was much less profitable than using ransomware.","[{'id': 45817, 'label': 'SOFTWARE', 'start_offset': 19, 'end_offset': 26}
 {'id': 45818, 'label': 'SOFTWARE', 'start_offset': 48, 'end_offset': 60}]",[],[]
59,"In fact, with the rise of specialized bitcoin mining hardware, no regular PC can make any significant amount of money for an attacker.",[],[],[]
60,"However, there are many other “crypto coins” in the market today.",[],[],[]
61,The one we see mined most by attackers is called Monero.,"[{'id': 45819, 'label': 'SOFTWARE', 'start_offset': 49, 'end_offset': 55}]",[],[]
62,"In contrast to bitcoin, Monero was designed to enable private transactions using a closed ledger, and its mining algorithm is still mined effectively by both PC CPUs and GPUs.","[{'id': 45820, 'label': 'SOFTWARE', 'start_offset': 24, 'end_offset': 30}]",[],[]
63,"As the chart below shows, Monero has risen even faster than bitcoin in price in the last two years, with more than a 30,000% gain in U.S. dollars.","[{'id': 45773, 'label': 'TIME', 'start_offset': 84, 'end_offset': 98}
 {'id': 44583, 'label': 'SOFTWARE', 'start_offset': 26, 'end_offset': 32}
 {'id': 44584, 'label': 'SOFTWARE', 'start_offset': 60, 'end_offset': 67}]",[],[]
64,Figure 3: Price of Monero in U.S. dollars from CoinMarketCap  ,"[{'id': 45821, 'label': 'SOFTWARE', 'start_offset': 19, 'end_offset': 25}
 {'id': 45823, 'label': 'SOFTWARE', 'start_offset': 47, 'end_offset': 60}]",[],[]
65,A normal PC used to mine Monero can earn around US$0.25 per day at the current prices.,"[{'id': 45824, 'label': 'SOFTWARE', 'start_offset': 25, 'end_offset': 31}]",[],[]
66,"That number is small, but it’s important to note that it doesn’t matter what country or network a Monero miner is part of: computers in Australia and Poland mine at the same speed.","[{'id': 44586, 'label': 'SOFTWARE', 'start_offset': 98, 'end_offset': 104}
 {'id': 44587, 'label': 'location', 'start_offset': 136, 'end_offset': 145}
 {'id': 44588, 'label': 'location', 'start_offset': 150, 'end_offset': 156}]",[],[]
67,"Every infected system is a profit-generating resource when mining Monero, and users are much less likely to identify their infection and remove the mining program than they would be with ransomware.","[{'id': 45825, 'label': 'SOFTWARE', 'start_offset': 66, 'end_offset': 72}]",[],[]
68,"For context, in January, we found a Monero mining campaign that infected around 15 million systems, largely in the developing world.","[{'id': 45827, 'label': 'SOFTWARE', 'start_offset': 36, 'end_offset': 42}
 {'id': 45826, 'label': 'TIME', 'start_offset': 16, 'end_offset': 23}
 {'id': 45828, 'label': 'location', 'start_offset': 115, 'end_offset': 131}]",[],[]
69,"If these systems remained infected for at least 24 hours each, the attackers could have earned well over 3 million U.S. dollars in Monero.","[{'id': 260, 'label': 'TIME', 'start_offset': 39, 'end_offset': 56}
 {'id': 44589, 'label': 'SOFTWARE', 'start_offset': 131, 'end_offset': 137}]",[],[]
70,"Additionally, the risk of arrest and conviction is significantly lower than with ransomware, as mining cryptocurrency is less likely to generate reports to law enforcement than a data-destroying ransomware infection.",[],[],[]
71, What’s Next?,[],[],[]
72,This wave of attacks will continue as long as it maintains a high level of profitability with a low level of risk for cybercriminals.,[],[],[]
73,"For defenders, it’s important to note that the techniques used to infect systems with coin mining malware are the same as they were for ransomware.",[],[],[]
74,"Infections typically begin with emails carrying malicious macro documents, drive-by exploit kits targeting browsers, or direct attacks on servers running vulnerable software.",[],[],[]
75,"There is no single solution to stopping these attacks, but the same technologies and policies you use to prevent other malware infections will be effective.","[{'id': 44590, 'label': 'attack-pattern', 'start_offset': 119, 'end_offset': 137}]",[],[]
76,"Across the changing landscape of botnet herders, Banking Trojans, ransomware and coin mining is one constant: the business-savvy drive to maximize profit and reduce risk.",[],[],[]
77,"Using these as our guide, we can make sense of where we are today, how we got here, and be prepared for what has yet to develop in the future.",[],[],[]
78,Here are three things to watch for:,[],[],[]
79,1. A marked increase in the price of Monero or other cryptocurrencies will draw even more attackers into this business.,"[{'id': 45829, 'label': 'SOFTWARE', 'start_offset': 37, 'end_offset': 43}]",[],[]
80,"For many users, this could actually be a positive development, as the negative impact of having resources sapped from one’s computer is much less than paying a ransom or restoring your system from a backup due to ransomware.",[],[],[]
81,"Conversely, a crash in the price of cryptocurrencies will decrease the profitability and drive criminals back to ransomware.",[],[],[]
82,2. Listen to your fans or keep an eye on your CPU usage.,[],[],[]
83,Many users realize their system is infected with coin mining malware when their laptop fans kick into high-speed mode to keep the overtaxed CPU cool.,[],[],[]
84,"Listening to fans won’t work at the enterprise scale, but implementing widespread CPU performance monitoring could be a good way to find compromised devices.",[],[],[]
85,"This will also help you identify the coin mining “insider threat,” as misguided administrators may see their organizations’ unused CPU time as a way to generate personal income.",[],[],[]
86,3. Criminals will find ways to target these attacks.,[],[],[]
87,"Compromising a user’s browser or a regular home PC will net the criminal an average system for mining coins, but higher-end systems will generate more income.","[{'id': 45830, 'label': 'attack-pattern', 'start_offset': 0, 'end_offset': 29}]",[],[]
88,Attackers will soon begin targeting devices with higher specifications to get more bang for their buck.,[],[],[]
89,Gaming PCs with high-end GPUs and servers with large numbers of processing cores will be prime targets.,[],[],[]
90," Sign up to receive the latest news, cyber threat intelligence and research from us  Please enter your email address!",[],[],[]
91," Please mark, I'm not a robot!  By submitting this form, you agree to our Terms of Use and acknowledge our Privacy Statement.",[],[],[]
92,It’s that time of year again – our researchers have analyzed and reviewed the threats and attacks that occurred during the first half of 2021.,"[{'id': 45831, 'label': 'TIME', 'start_offset': 123, 'end_offset': 141}]",[],[]
93,"Our report, Attacks From All Angles: 2021 Midyear Security Roundup, highlights many of the active attacks we saw, from APTs to ransomware to zero-day exploits.","[{'id': 44591, 'label': 'TIME', 'start_offset': 37, 'end_offset': 49}
 {'id': 44592, 'label': 'attack-pattern', 'start_offset': 141, 'end_offset': 158}]",[],[]
94,I’d like to highlight an area where we are seeing increased activity: attacks against cloud infrastructures.,[],[],[]
95,"I’ve spoken on this at a few events and asked my audiences how many have active cloud infrastructure projects going on, the answer is always most of them.",[],[],[]
96,"In our 1H’ 2021 Cyber Risk Index, we asked organizations what their top infrastructure risks are.","[{'id': 45832, 'label': 'identity', 'start_offset': 16, 'end_offset': 32}
 {'id': 44593, 'label': 'TIME', 'start_offset': 7, 'end_offset': 15}]",[],[]
97,Cloud security has been in the top two for the last few years.,[],[],[]
98,"Obviously, many organizations are moving quickly to the cloud and, as such, need to be thinking about how to secure it.",[],[],[]
99,Below is an overview of what we’re seeing in cloud attacks.,[],[],[]
100,            Threats Impacting Cloud Environments,[],[],[]
101,"In our first half report, we highlight an APT group named TeamTNT that has been targeting clouds for quite a while now.","[{'id': 45833, 'label': 'threat-actor', 'start_offset': 58, 'end_offset': 65}]",[],[]
102,"They have focused most of their efforts on planting crypto-mining malware on cloud servers in an effort to mine Monero coins, but we have also seen them utilize DDoS IRC bots, steal cloud account credentials, and exfil data.","[{'id': 44594, 'label': 'SOFTWARE', 'start_offset': 112, 'end_offset': 118}
 {'id': 44595, 'label': 'attack-pattern', 'start_offset': 161, 'end_offset': 165}
 {'id': 44596, 'label': 'attack-pattern', 'start_offset': 176, 'end_offset': 207}
 {'id': 44597, 'label': 'attack-pattern', 'start_offset': 213, 'end_offset': 223}
 {'id': 44598, 'label': 'malware', 'start_offset': 52, 'end_offset': 73}]",[],[]
103,"As you can see from the above diagram, all of these are end goals for most attacks.",[],[],[]
104,"Speaking of data exfil, in the first half we saw APT actors utilize cloud-based file storage to exfiltrate their stolen data.",[],[],[]
105,"For example, we found that Conti operators use the cloud storage synchronization tool Rclone to upload files to the Mega cloud storage service.","[{'id': 377, 'label': 'malware', 'start_offset': 116, 'end_offset': 120}
 {'id': 44599, 'label': 'threat-actor', 'start_offset': 27, 'end_offset': 42}
 {'id': 44600, 'label': 'tools', 'start_offset': 86, 'end_offset': 92}
 {'id': 44601, 'label': 'SOFTWARE', 'start_offset': 116, 'end_offset': 142}]","[{'id': 1, 'from_id': 44599, 'to_id': 44600, 'type': 'uses'}
 {'id': 2, 'from_id': 44600, 'to_id': 44601, 'type': 'exfiltrates-to'}
 {'id': 3, 'from_id': 44599, 'to_id': 44601, 'type': 'exfiltrates-to'}]",[]
106,"Similarly, DarkSide operators used Mega client for exfiltrating files to cloud storage, 7-Zip for archiving, and PuTTY application for network file transfers.","[{'id': 45834, 'label': 'threat-actor', 'start_offset': 11, 'end_offset': 29}
 {'id': 45835, 'label': 'tools', 'start_offset': 35, 'end_offset': 46}
 {'id': 45836, 'label': 'tools', 'start_offset': 88, 'end_offset': 93}
 {'id': 45837, 'label': 'tools', 'start_offset': 113, 'end_offset': 118}]","[{'id': 120, 'from_id': 45834, 'to_id': 45835, 'type': 'uses'}
 {'id': 121, 'from_id': 45834, 'to_id': 45836, 'type': 'uses'}
 {'id': 122, 'from_id': 45834, 'to_id': 45837, 'type': 'uses'}]",[]
107,"This use of known, legitimate tools is not new; we call that “living off the land” and have seen this tactic pick up recently, including usage by ransomware actors.","[{'id': 45838, 'label': 'tools', 'start_offset': 62, 'end_offset': 81}]",[],[]
108,Many organizations now need to look at ways of monitoring legitimate tools usage within their networks to identify any malicious uses.,[],[],[]
109,Cloud Security Architecture,[],[],[]
110,"When developing your cloud security architecture and strategy, it is important to always keep the ends in mind.",[],[],[]
111,"In this case, what are the motivation and end goals of an attacker?",[],[],[]
112,"As you see in the image above, most cloud attacks are going to fall into one of these areas.",[],[],[]
113,"Depending on what you are doing as part of your cloud infrastructure, you should be able to identify if any or all of these end goals could be targeted in your environment.",[],[],[]
114,"From there, you can work backwards to develop your strategy for protecting those initial access areas tied to the different attacks.",[],[],[]
115,"A challenge many organizations face is that the cloud isn’t simple, and many of the technologies that make up the cloud are new, with new features being deployed all the time.",[],[],[]
116,Understanding how these work and – more importantly – how to secure them can be very difficult.,[],[],[]
117,"Utilizing a security platform approach can help build your cloud to be more secure, but educating your architects and administrators will also help.",[],[],[]
118,"One key area is hardening your cloud account credentials, as these will be regularly targeted by malicious actors.",[],[],[]
119,Using multi-factor authentication to access all accounts can minimize this risk tremendously.,[],[],[]
120,"Take a look at Trend Micro Cloud One, part of our complete cybersecurity platform, to learn more.","[{'id': 44602, 'label': 'SOFTWARE', 'start_offset': 15, 'end_offset': 36}]",[],[]
121,The cloud is only one aspect of our full 1H 2021 report.,"[{'id': 45839, 'label': 'TIME', 'start_offset': 41, 'end_offset': 48}]",[],[]
122,"To get more details on all the different threats and attacks we observed, download and read the full report here.",[],[],[]
123,"      Tags  Cloud | Cyber Crime | Expert Perspective | Cyber Threats | APT & Targeted Attacks | Network | Articles, News, Reports",[],[],[]
124,Cybercriminals have embraced the anonymous nature of cryptocurrency as a new preferred method of profit.,[],[],[]
125,Unit 42 released details about attackers hijacking web browsers to mine for compute resources and exchange for cryptocurrency.,"[{'id': 45840, 'label': 'identity', 'start_offset': 0, 'end_offset': 7}]",[],[]
126,"With the increasing value of cryptocurrency, such as bitcoin and Ethereum, and a better business model with higher returns than malware- and exploit-type attacks, it’s no surprise these types of attacks are becoming more commonplace.","[{'id': 44603, 'label': 'SOFTWARE', 'start_offset': 53, 'end_offset': 60}
 {'id': 44604, 'label': 'SOFTWARE', 'start_offset': 65, 'end_offset': 73}]",[],[]
127, Cybercriminals will compromise a website and abuse a legitimate tool on that site to gain access to the compute resources of site visitors’ systems.,"[{'id': 45842, 'label': 'attack-pattern', 'start_offset': 46, 'end_offset': 69}
 {'id': 45841, 'label': 'attack-pattern', 'start_offset': 21, 'end_offset': 41}]",[],[]
128,"Using this access, attackers will essentially steal compute resources and exchange them for cryptocurrency credit.","[{'id': 45843, 'label': 'attack-pattern', 'start_offset': 46, 'end_offset': 69}]",[],[]
129,This all occurs without the users’ consent or knowledge throughout the duration of their site visits.,[],[],[]
130," The malicious activity itself doesn’t cause long-term damage to systems, and ends as soon as users leave the malicious or compromised site.",[],[],[]
131,"Additionally, the site will still provide users with its normal, intended functionality.",[],[],[]
132,"However, users likely experience a noticeable slowdown in system performance.",[],[],[]
133," If you believe your system is being affected by this type of attack, leaving the site or closing your browser will, in most cases, end the attack.",[],[],[]
134,"Additionally, you should practice good cybersecurity hygiene.",[],[],[]
135,"This means avoiding unfamiliar websites, clicking on links or downloading attachments from unknown email senders, keeping products updated with the latest security patches, enabling multi-factor authentication, and using reputable security products.",[],[],[]
136," Sign up to receive the latest news, cyber threat intelligence and research from us  Please enter your email address!  Please mark, I'm not a robot!  ",[],[],[]
137,"By submitting this form, you agree to our Terms of Use and acknowledge our Privacy Statement.  ",[],[],[]
138,This post is also available in:      日本語 (Japanese)  ,[],[],[]
139,"In our updated report on ransomware from Unit 42, “Ransomware: Unlocking the Lucrative Criminal Business Model,” Unit 42 researcher Bryan Lee notes: “In 2016, it was thought that there were less than one hundred active ransomware variants out in the wild.","[{'id': 45846, 'label': 'identity', 'start_offset': 41, 'end_offset': 48}
 {'id': 45847, 'label': 'TIME', 'start_offset': 153, 'end_offset': 157}
 {'id': 45844, 'label': 'identity', 'start_offset': 113, 'end_offset': 120}
 {'id': 45845, 'label': 'identity', 'start_offset': 132, 'end_offset': 141}]",[],[]
140,"Today, the number of total ransomware variants at least over 150, if not hundreds more.”  It’s reasonable to ask why ransomware continues not only to exist but to thrive.",[],[],[]
141,"The first answer to this, as we’ve outlined in our report, is that ransomware is a lucrative cybercriminal business model.",[],[],[]
142,"However, in addition to the human factor, there are technical reasons.",[],[],[]
143,"Specifically, there are three things that combine to make ransomware a particularly potent threat on the technical level:",[],[],[]
144," In some ways, these three points state the obvious.",[],[],[]
145,But the full ramifications and why these make ransomware hard to stop aren’t always discussed.,[],[],[]
146," The way ransomware works is well documented, but let’s recap here.",[],[],[]
147,Ransomware is downloaded to a user’s system and executed on it.,[],[],[]
148,"The way the attackers get the ransomware on the system varies: it can be through unpatched vulnerabilities, social engineering or both.",[],[],[]
149,The most common way ransomware operators levy attacks is through email or by web browsing to malicious or compromised sites.,"[{'id': 45848, 'label': 'attack-pattern', 'start_offset': 65, 'end_offset': 123}]",[],[]
150,The overwhelming majority of ransomware attacks are against Microsoft Windows systems.,"[{'id': 44606, 'label': 'SOFTWARE', 'start_offset': 60, 'end_offset': 77}]",[],[]
151,"Once malware is running on the user’s system, it seeks out and encrypts files and folders that hold information critical for the user, such as documents, business applications or even database files.",[],[],[]
152,"In some cases, the ransomware is sophisticated enough to target specific application files.",[],[],[]
153,"Most importantly, because the ransomware is executing with the compromised user’s privileges, any file the legitimate, now-compromised user has access to, including network shares and backups, is fair game for the ransomware.","[{'id': 44607, 'label': 'attack-pattern', 'start_offset': 63, 'end_offset': 92}]",[],[]
154, It’s this last point that gets to the heart of why ransomware is so potent.,[],[],[]
155,"From an operating system point of view, the ransomware IS the user.",[],[],[]
156,"Even though Microsoft Windows today features a robust user access control system, that system has inherent limitations.","[{'id': 44608, 'label': 'SOFTWARE', 'start_offset': 12, 'end_offset': 29}]",[],[]
157,"In the early days of Window Vista, Microsoft enabled aggressive security checking to ensure user-initiated actions were legitimate.","[{'id': 45849, 'label': 'SOFTWARE', 'start_offset': 21, 'end_offset': 33}
 {'id': 45850, 'label': 'identity', 'start_offset': 35, 'end_offset': 44}]",[],[]
158,"This was well-intentioned but ultimately backfired: users got fed up clicking “Are you sure?” dialog boxes and quickly disabled the feature, or just mindlessly clicked “OK” every time they saw it.",[],[],[]
159,Microsoft made reasonable adjustments so that these alerts are now raised sparingly.,"[{'id': 44609, 'label': 'identity', 'start_offset': 0, 'end_offset': 9}]",[],[]
160,"Although that feature was never enabled to protect user data files like ransomware targets, there is a clear lesson from the experience: too many security checks on user activity fails in the end.",[],[],[]
161," Bringing that lesson to bear here, the only way the operating system could protect against ransomware would be to raise “Are you sure?” dialog boxes on everyday operations against the kinds of files that ransomware targets.",[],[],[]
162, And this is where the second point comes to bear.,[],[],[]
163," Unlike other forms of malware, ransomware is very specific in its targeting.",[],[],[]
164,It goes after the files users are most likely to care about.,[],[],[]
165,These also happen to be files users are most likely to use on a day-to-day basis or that are critical to an organization’s operations.,[],[],[]
166,Extra layers of protection for those files would be incredibly onerous.,[],[],[]
167,Imagine having to click through “Are you sure?” dialog boxes for every document or picture you opened in a day.,[],[],[]
168," From an engineering point of view, this sole, specific targeting of files that matter significantly increases the chances of ransomware’s success.",[],[],[]
169,This brings us to the third point: there is little attack time wasted on files that don’t matter to the victim.,[],[],[]
170,Even a successful ransomware attack that is halted early by security software will achieve some level of damage – enough to make the victim consider paying the ransom to get the files back.,[],[],[]
171,"If user32.dll were encrypted and unusable, it would be a problem.","[{'id': 44610, 'label': 'FILEPATH', 'start_offset': 3, 'end_offset': 13}]",[],[]
172,"But when your organization’s overall accounting and audit report is inaccessible right before the big deadline, that’s catastrophic.",[],[],[]
173, The net of these three points is that ransomware is a threat such that focus needs to be placed solely around prevention.,[],[],[]
174,"There is no effective solution for ransomware at the operating system level, as outlined above.",[],[],[]
175,"And unlike other attacks, ransomware attacks can’t succeed “just a little.”",[],[],[]
176,"In some cases, a single file lost is more than enough to count as a fully successful attack.",[],[],[]
177," In some ways, ransomware is a threat unlike any other.",[],[],[]
178,Its impact and scope are both broad and deep in ways that are unique.,[],[],[]
179,"Because of that, from a risk assessment point of view, ransomware needs to be put in a class by itself – a class that acknowledges that the risks from a successful attack of any kind are very high.",[],[],[]
180," Sign up to receive the latest news, cyber threat intelligence and research from us  Please enter your email address!",[],[],[]
181," Please mark, I'm not a robot!",[],[],[]
182,"By submitting this form, you agree to our Terms of Use and acknowledge our Privacy Statement.  ",[],[],[]
183,This post is also available in:      日本語 (Japanese)  ,[],[],[]
184,"Over the past several weeks, Russia-Ukraine cyber activity has escalated substantially.",[],[],[]
185,"Beginning on Feb. 15, a series of distributed denial of service (DDoS) attacks commenced.","[{'id': 45851, 'label': 'TIME', 'start_offset': 13, 'end_offset': 20}
 {'id': 45852, 'label': 'attack-pattern', 'start_offset': 34, 'end_offset': 70}]",[],[]
186,"These attacks have continued over the past week, impacting both the Ukrainian government and banking institutions.","[{'id': 44612, 'label': 'identity', 'start_offset': 68, 'end_offset': 113}]",[],[]
187,"On Feb. 23, a new variant of wiper malware named HermeticWiper was discovered in Ukraine.","[{'id': 591, 'label': 'malware', 'start_offset': 29, 'end_offset': 34}
 {'id': 45853, 'label': 'TIME', 'start_offset': 3, 'end_offset': 10}
 {'id': 45855, 'label': 'malware', 'start_offset': 49, 'end_offset': 62}
 {'id': 45854, 'label': 'location', 'start_offset': 81, 'end_offset': 88}]","[{'id': 123, 'from_id': 45855, 'to_id': 591, 'type': 'variant-of'}
 {'id': 124, 'from_id': 45855, 'to_id': 45854, 'type': 'targets'}]",[]
188,"Shortly after, a new round of website defacement attacks were also observed impacting Ukrainian government organizations.","[{'id': 45856, 'label': 'identity', 'start_offset': 86, 'end_offset': 120}
 {'id': 45857, 'label': 'attack-pattern', 'start_offset': 30, 'end_offset': 48}]",[],[]
189," Consistent with our previous reporting on the topic, several western governments have issued recommendations for their populations to prepare for cyberattacks that could disrupt, disable or destroy critical infrastructure.","[{'id': 45858, 'label': 'identity', 'start_offset': 62, 'end_offset': 81}]",[],[]
190,"We have already observed an increase in Russian cyber activity, which we reported on in our initial Threat Brief published last month and our recent report on the Gamaredon group.","[{'id': 45859, 'label': 'threat-actor', 'start_offset': 163, 'end_offset': 178}
 {'id': 45860, 'label': 'location', 'start_offset': 40, 'end_offset': 47}]",[],[]
