rule_id,rule_name,rule_text,category,label,severity,target_os,hash
R020,Exploit_Kit,"rule Exploit_Kit { meta: description = ""Detects exploit kit payloads"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""exploit_kit"" nocase $s2 = ""shellcode"" condition: $s1 or $s2 }",Exploit,malicious,critical,['Windows'],t0u1v2w3x4y5z6a7b8c9
R021,Benign_Excel,"rule Benign_Excel { meta: description = ""Detects Microsoft Excel"" author = ""CyberSecTeam"" date = ""2025-04-15"" strings: $s1 = ""excel.exe"" nocase $s2 = ""Microsoft Office"" condition: $s1 and $s2 }",Benign,benign,none,['Windows'],u1v2w3x4y5z6a7b8c9d0
R022,TrickBot,"rule TrickBot { meta: description = ""Detects TrickBot trojan"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""trickbot"" nocase $s2 = ""banking_config"" condition: $s1 or $s2 }",Trojan,malicious,high,['Windows'],v2w3x4y5z6a7b8c9d0e1
R023,Benign_PowerPoint,"rule Benign_PowerPoint { meta: description = ""Detects Microsoft PowerPoint"" author = ""CyberSecTeam"" date = ""2025-04-20"" strings: $s1 = ""powerpnt.exe"" nocase $s2 = ""Microsoft Office"" condition: $s1 and $s2 }",Benign,benign,none,['Windows'],w3x4y5z6a7b8c9d0e1f2
R024,Backdoor_ASP,"rule Backdoor_ASP { meta: description = ""Detects ASP-based backdoors"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""cmd.asp"" nocase $s2 = ""execute_shell"" condition: $s1 and $s2 }",Webshell,malicious,critical,['Windows'],x4y5z6a7b8c9d0e1f2g3
R025,Benign_Nginx,"rule Benign_Nginx { meta: description = ""Detects Nginx server"" author = ""CyberSecTeam"" date = ""2025-04-25"" strings: $s1 = ""nginx"" nocase $s2 = ""http_server"" condition: $s1 and $s2 }",Benign,benign,none,['Linux'],y5z6a7b8c9d0e1f2g3h4
R026,Pony_Loader,"rule Pony_Loader { meta: description = ""Detects Pony loader malware"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""pony_loader"" nocase $s2 = ""password_stealer"" condition: $s1 or $s2 }",Loader,malicious,high,['Windows'],z6a7b8c9d0e1f2g3h4i5
R027,Benign_Git,"rule Benign_Git { meta: description = ""Detects Git client"" author = ""CyberSecTeam"" date = ""2025-04-30"" strings: $s1 = ""git.exe"" nocase $s2 = ""git_version"" condition: $s1 and $s2 }",Benign,benign,none,"['Windows', 'Linux']",a7b8c9d0e1f2g3h4i5j6
R028,Adwind_RAT,"rule Adwind_RAT { meta: description = ""Detects Adwind RAT"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""adwind"" nocase $s2 = ""remote_control"" condition: $s1 or $s2 }",RAT,malicious,high,['Windows'],b8c9d0e1f2g3h4i5j6k7
R029,Benign_VLC,"rule Benign_VLC { meta: description = ""Detects VLC media player"" author = ""CyberSecTeam"" date = ""2025-05-05"" strings: $s1 = ""vlc.exe"" nocase $s2 = ""videolan"" condition: $s1 and $s2 }",Benign,benign,none,"['Windows', 'Linux']",c9d0e1f2g3h4i5j6k7l8
R030,CryptoLocker,"rule CryptoLocker { meta: description = ""Detects CryptoLocker ransomware"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""cryptolocker"" nocase $s2 = ""encrypt_files"" condition: $s1 or $s2 }",Ransomware,malicious,critical,['Windows'],d0e1f2g3h4i5j6k7l8m9
R031,Benign_Putty,"rule Benign_Putty { meta: description = ""Detects PuTTY SSH client"" author = ""CyberSecTeam"" date = ""2025-05-10"" strings: $s1 = ""putty.exe"" nocase $s2 = ""ssh_client"" condition: $s1 and $s2 }",Benign,benign,none,['Windows'],e1f2g3h4i5j6k7l8m9n0
R032,DarkComet_RAT,"rule DarkComet_RAT { meta: description = ""Detects DarkComet RAT"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""darkcomet"" nocase $s2 = ""remote_shell"" condition: $s1 or $s2 }",RAT,malicious,high,['Windows'],f2g3h4i5j6k7l8m9n0o1
R033,Benign_WinRAR,"rule Benign_WinRAR { meta: description = ""Detects WinRAR archiver"" author = ""CyberSecTeam"" date = ""2025-05-15"" strings: $s1 = ""winrar.exe"" nocase $s2 = ""rarlab"" condition: $s1 and $s2 }",Benign,benign,none,['Windows'],g3h4i5j6k7l8m9n0o1p2
R034,Locky_Ransomware,"rule Locky_Ransomware { meta: description = ""Detects Locky ransomware"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""locky"" nocase $s2 = ""encryptor"" condition: $s1 or $s2 }",Ransomware,malicious,critical,['Windows'],h4i5j6k7l8m9n0o1p2q3
R035,Benign_7Zip,"rule Benign_7Zip { meta: description = ""Detects 7-Zip archiver"" author = ""CyberSecTeam"" date = ""2025-05-20"" strings: $s1 = ""7z.exe"" nocase $s2 = ""7-zip.org"" condition: $s1 and $s2 }",Benign,benign,none,['Windows'],i5j6k7l8m9n0o1p2q3r4
R036,AsyncRAT,"rule AsyncRAT { meta: description = ""Detects AsyncRAT trojan"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""asyncrat"" nocase $s2 = ""remote_control"" condition: $s1 or $s2 }",RAT,malicious,high,['Windows'],j6k7l8m9n0o1p2q3r4s5
R037,Benign_GIMP,"rule Benign_GIMP { meta: description = ""Detects GIMP image editor"" author = ""CyberSecTeam"" date = ""2025-05-25"" strings: $s1 = ""gimp.exe"" nocase $s2 = ""gimp.org"" condition: $s1 and $s2 }",Benign,benign,none,"['Windows', 'Linux']",k7l8m9n0o1p2q3r4s5t6
R038,QakBot,"rule QakBot { meta: description = ""Detects QakBot trojan"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""qakbot"" nocase $s2 = ""banking_trojan"" condition: $s1 or $s2 }",Trojan,malicious,high,['Windows'],l8m9n0o1p2q3r4s5t6u7
R039,Benign_Audacity,"rule Benign_Audacity { meta: description = ""Detects Audacity audio editor"" author = ""CyberSecTeam"" date = ""2025-05-30"" strings: $s1 = ""audacity.exe"" nocase $s2 = ""audacityteam"" condition: $s1 and $s2 }",Benign,benign,none,"['Windows', 'Linux']",m9n0o1p2q3r4s5t6u7v8
R040,FormBook,"rule FormBook { meta: description = ""Detects FormBook stealer"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""formbook"" nocase $s2 = ""data_stealer"" condition: $s1 or $s2 }",Stealer,malicious,high,['Windows'],n0o1p2q3r4s5t6u7v8w9
R041,Benign_LibreOffice,"rule Benign_LibreOffice { meta: description = ""Detects LibreOffice suite"" author = ""CyberSecTeam"" date = ""2025-06-01"" strings: $s1 = ""soffice.exe"" nocase $s2 = ""libreoffice.org"" condition: $s1 and $s2 }",Benign,benign,none,"['Windows', 'Linux']",o1p2q3r4s5t6u7v8w9x0
R042,GandCrab,"rule GandCrab { meta: description = ""Detects GandCrab ransomware"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""gandcrab"" nocase $s2 = ""ransom_note"" condition: $s1 or $s2 }",Ransomware,malicious,critical,['Windows'],p2q3r4s5t6u7v8w9x0y1
R043,Benign_FileZilla,"rule Benign_FileZilla { meta: description = ""Detects FileZilla FTP client"" author = ""CyberSecTeam"" date = ""2025-06-05"" strings: $s1 = ""filezilla.exe"" nocase $s2 = ""filezilla-project.org"" condition: $s1 and $s2 }",Benign,benign,none,"['Windows', 'Linux']",q3r4s5t6u7v8w9x0y1z2
R044,NetWalker,"rule NetWalker { meta: description = ""Detects NetWalker ransomware"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""netwalker"" nocase $s2 = ""encryptor"" condition: $s1 or $s2 }",Ransomware,malicious,critical,['Windows'],r4s5t6u7v8w9x0y1z2a3
R045,Benign_Wireshark,"rule Benign_Wireshark { meta: description = ""Detects Wireshark network analyzer"" author = ""CyberSecTeam"" date = ""2025-06-10"" strings: $s1 = ""wireshark.exe"" nocase $s2 = ""wireshark.org"" condition: $s1 and $s2 }",Benign,benign,none,"['Windows', 'Linux']",s5t6u7v8w9x0y1z2a3b4
R046,AgentTesla,"rule AgentTesla { meta: description = ""Detects AgentTesla stealer"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""agenttesla"" nocase $s2 = ""keylogger"" condition: $s1 or $s2 }",Stealer,malicious,high,['Windows'],t6u7v8w9x0y1z2a3b4c5
R047,Benign_Thunderbird,"rule Benign_Thunderbird { meta: description = ""Detects Thunderbird email client"" author = ""CyberSecTeam"" date = ""2025-06-15"" strings: $s1 = ""thunderbird.exe"" nocase $s2 = ""mozilla"" condition: $s1 and $s2 }",Benign,benign,none,"['Windows', 'Linux']",u7v8w9x0y1z2a3b4c5d6
R048,REvil,"rule REvil { meta: description = ""Detects REvil ransomware"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""revil"" nocase $s2 = ""ransom_encrypt"" condition: $s1 or $s2 }",Ransomware,malicious,critical,['Windows'],v8w9x0y1z2a3b4c5d6e7
R049,Benign_Sublime,"rule Benign_Sublime { meta: description = ""Detects Sublime Text editor"" author = ""CyberSecTeam"" date = ""2025-06-20"" strings: $s1 = ""sublime_text.exe"" nocase $s2 = ""sublimetext.com"" condition: $s1 and $s2 }",Benign,benign,none,"['Windows', 'Linux']",w9x0y1z2a3b4c5d6e7f8
R050,NanoCore,"rule NanoCore { meta: description = ""Detects NanoCore RAT"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""nanocore"" nocase $s2 = ""remote_admin"" condition: $s1 or $s2 }",RAT,malicious,high,['Windows'],x0y1z2a3b4c5d6e7f8g9
R051,Benign_Docker,"rule Benign_Docker { meta: description = ""Detects Docker CLI"" author = ""CyberSecTeam"" date = ""2025-06-25"" strings: $s1 = ""docker.exe"" nocase $s2 = ""docker.com"" condition: $s1 and $s2 }",Benign,benign,none,"['Windows', 'Linux']",y1z2a3b4c5d6e7f8g9h0
R052,Cerber,"rule Cerber { meta: description = ""Detects Cerber ransomware"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""cerber"" nocase $s2 = ""ransom_note"" condition: $s1 or $s2 }",Ransomware,malicious,critical,['Windows'],z2a3b4c5d6e7f8g9h0i1
R053,Benign_Vim,"rule Benign_Vim { meta: description = ""Detects Vim text editor"" author = ""CyberSecTeam"" date = ""2025-06-30"" strings: $s1 = ""vim"" nocase $s2 = ""vim.org"" condition: $s1 and $s2 }",Benign,benign,none,['Linux'],a3b4c5d6e7f8g9h0i1j2
R054,Gozi,"rule Gozi { meta: description = ""Detects Gozi trojan"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""gozi"" nocase $s2 = ""banking_stealer"" condition: $s1 or $s2 }",Trojan,malicious,high,['Windows'],b4c5d6e7f8g9h0i1j2k3
R055,Benign_Eclipse,"rule Benign_Eclipse { meta: description = ""Detects Eclipse IDE"" author = ""CyberSecTeam"" date = ""2025-07-05"" strings: $s1 = ""eclipse.exe"" nocase $s2 = ""eclipse.org"" condition: $s1 and $s2 }",Benign,benign,none,"['Windows', 'Linux']",c5d6e7f8g9h0i1j2k3l4
R056,Petya,"rule Petya { meta: description = ""Detects Petya ransomware"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""petya"" nocase $s2 = ""mbr_encrypt"" condition: $s1 or $s2 }",Ransomware,malicious,critical,['Windows'],d6e7f8g9h0i1j2k3l4m5
R057,Benign_IntelliJ,"rule Benign_IntelliJ { meta: description = ""Detects IntelliJ IDEA"" author = ""CyberSecTeam"" date = ""2025-07-10"" strings: $s1 = ""idea.exe"" nocase $s2 = ""jetbrains.com"" condition: $s1 and $s2 }",Benign,benign,none,"['Windows', 'Linux']",e7f8g9h0i1j2k3l4m5n6
R058,Ursnif,"rule Ursnif { meta: description = ""Detects Ursnif trojan"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""ursnif"" nocase $s2 = ""data_stealer"" condition: $s1 or $s2 }",Trojan,malicious,high,['Windows'],f8g9h0i1j2k3l4m5n6o7
R059,Benign_Nmap,"rule Benign_Nmap { meta: description = ""Detects Nmap scanner"" author = ""CyberSecTeam"" date = ""2025-07-15"" strings: $s1 = ""nmap.exe"" nocase $s2 = ""nmap.org"" condition: $s1 and $s2 }",Benign,benign,none,"['Windows', 'Linux']",g9h0i1j2k3l4m5n6o7p8
R060,HawkEye,"rule HawkEye { meta: description = ""Detects HawkEye keylogger"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""hawkeye"" nocase $s2 = ""keylogger"" condition: $s1 or $s2 }",Keylogger,malicious,high,['Windows'],h0i1j2k3l4m5n6o7p8q9
R061,Benign_Postman,"rule Benign_Postman { meta: description = ""Detects Postman API client"" author = ""CyberSecTeam"" date = ""2025-07-20"" strings: $s1 = ""postman.exe"" nocase $s2 = ""getpostman.com"" condition: $s1 and $s2 }",Benign,benign,none,"['Windows', 'Linux']",i1j2k3l4m5n6o7p8q9r0
R062,Ryuk,"rule Ryuk { meta: description = ""Detects Ryuk ransomware"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""ryuk"" nocase $s2 = ""ransom_encrypt"" condition: $s1 or $s2 }",Ransomware,malicious,critical,['Windows'],j2k3l4m5n6o7p8q9r0s1
R063,Benign_TeraTerm,"rule Benign_TeraTerm { meta: description = ""Detects TeraTerm SSH client"" author = ""CyberSecTeam"" date = ""2025-07-25"" strings: $s1 = ""teraterm.exe"" nocase $s2 = ""ttssh"" condition: $s1 and $s2 }",Benign,benign,none,['Windows'],k3l4m5n6o7p8q9r0s1t2
R064,SmokeLoader,"rule SmokeLoader { meta: description = ""Detects SmokeLoader malware"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""smokeloader"" nocase $s2 = ""downloader"" condition: $s1 or $s2 }",Loader,malicious,high,['Windows'],l4m5n6o7p8q9r0s1t2u3
R065,Benign_MySQL,"rule Benign_MySQL { meta: description = ""Detects MySQL server"" author = ""CyberSecTeam"" date = ""2025-07-30"" strings: $s1 = ""mysqld.exe"" nocase $s2 = ""mysql.com"" condition: $s1 and $s2 }",Benign,benign,none,"['Windows', 'Linux']",m5n6o7p8q9r0s1t2u3v4
R066,Zloader,"rule Zloader { meta: description = ""Detects Zloader trojan"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""zloader"" nocase $s2 = ""banking_trojan"" condition: $s1 or $s2 }",Trojan,malicious,high,['Windows'],n6o7p8q9r0s1t2u3v4w5
R067,Benign_PostgreSQL,"rule Benign_PostgreSQL { meta: description = ""Detects PostgreSQL server"" author = ""CyberSecTeam"" date = ""2025-08-01"" strings: $s1 = ""postgres.exe"" nocase $s2 = ""postgresql.org"" condition: $s1 and $s2 }",Benign,benign,none,"['Windows', 'Linux']",o7p8q9r0s1t2u3v4w5x6
R068,IcedID,"rule IcedID { meta: description = ""Detects IcedID trojan"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""icedid"" nocase $s2 = ""banking_trojan"" condition: $s1 or $s2 }",Trojan,malicious,high,['Windows'],p8q9r0s1t2u3v4w5x6y7
R069,Benign_MongoDB,"rule Benign_MongoDB { meta: description = ""Detects MongoDB server"" author = ""CyberSecTeam"" date = ""2025-08-05"" strings: $s1 = ""mongod.exe"" nocase $s2 = ""mongodb.com"" condition: $s1 and $s2 }",Benign,benign,none,"['Windows', 'Linux']",q9r0s1t2u3v4w5x6y7z8
R070,Sodinokibi,"rule Sodinokibi { meta: description = ""Detects Sodinokibi ransomware"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""sodinokibi"" nocase $s2 = ""ransom_encrypt"" condition: $s1 or $s2 }",Ransomware,malicious,critical,['Windows'],r0s1t2u3v4w5x6y7z8a9
R071,Benign_Redis,"rule Benign_Redis { meta: description = ""Detects Redis server"" author = ""CyberSecTeam"" date = ""2025-08-10"" strings: $s1 = ""redis-server.exe"" nocase $s2 = ""redis.io"" condition: $s1 and $s2 }",Benign,benign,none,"['Windows', 'Linux']",s1t2u3v4w5x6y7z8a9b0
R072,BlackMatter,"rule BlackMatter { meta: description = ""Detects BlackMatter ransomware"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""blackmatter"" nocase $s2 = ""ransom_encrypt"" condition: $s1 or $s2 }",Ransomware,malicious,critical,['Windows'],t2u3v4w5x6y7z8a9b0c1
R073,Benign_ApacheTomcat,"rule Benign_ApacheTomcat { meta: description = ""Detects Apache Tomcat server"" author = ""CyberSecTeam"" date = ""2025-08-15"" strings: $s1 = ""tomcat"" nocase $s2 = ""apache.org"" condition: $s1 and $s2 }",Benign,benign,none,"['Windows', 'Linux']",u3v4w5x6y7z8a9b0c1d2
R074,Emotet_Dropper,"rule Emotet_Dropper { meta: description = ""Detects Emotet dropper"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""emotet_dropper"" nocase $s2 = ""payload_delivery"" condition: $s1 or $s2 }",Dropper,malicious,high,['Windows'],v4w5x6y7z8a9b0c1d2e3
R075,Benign_Jenkins,"rule Benign_Jenkins { meta: description = ""Detects Jenkins CI server"" author = ""CyberSecTeam"" date = ""2025-08-20"" strings: $s1 = ""jenkins"" nocase $s2 = ""jenkins.io"" condition: $s1 and $s2 }",Benign,benign,none,"['Windows', 'Linux']",w5x6y7z8a9b0c1d2e3f4
R076,BazarLoader,"rule BazarLoader { meta: description = ""Detects BazarLoader malware"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""bazarloader"" nocase $s2 = ""downloader"" condition: $s1 or $s2 }",Loader,malicious,high,['Windows'],x6y7z8a9b0c1d2e3f4g5
R077,Benign_Elasticsearch,"rule Benign_Elasticsearch { meta: description = ""Detects Elasticsearch server"" author = ""CyberSecTeam"" date = ""2025-08-25"" strings: $s1 = ""elasticsearch"" nocase $s2 = ""elastic.co"" condition: $s1 and $s2 }",Benign,benign,none,"['Windows', 'Linux']",y7z8a9b0c1d2e3f4g5h6
R078,CobaltStrike,"rule CobaltStrike { meta: description = ""Detects CobaltStrike beacon"" author = ""Yara-Rules"" date = ""2024-06-01"" strings: $s1 = ""cobaltstrike"" nocase $s2 = ""beacon_payload"" condition: $s1 or $s2 }",Beacon,malicious,critical,['Windows'],z8a9b0c1d2e3f4g5h6i7
R079,Benign_RabbitMQ,"rule Benign_RabbitMQ { meta: description = ""Detects RabbitMQ server"" author = ""CyberSecTeam"" date = ""2025-08-30"" strings: $s1 = ""rabbitmq-server"" nocase $s2 = ""rabbitmq.com"" condition: $s1 and $s2 }",Benign,benign,none,"['Windows', 'Linux']",a9b0c1d2e3f4g5h6i7j8
R080,LemurLoot,"rule LemurLoot { meta: description = ""Detects LemurLoot webshell"" author = ""CISA"" date = ""2023-05-09"" strings: $s1 = ""lemurloot"" nocase $s2 = ""webshell_c2"" condition: $s1 or $s2 }",Webshell,malicious,critical,['Windows'],b0c1d2e3f4g5h6i7j8k9
R081,APT28_FancyBear,"rule APT28_FancyBear { meta: description = ""Detects APT28 (Fancy Bear) activity"" author = ""CyberSecTeam"" date = ""2025-09-01"" strings: $s1 = ""sofacy"" nocase $s2 = ""xtunnel"" condition: $s1 or $s2 }",Trojan,malicious,high,['Windows'],c1d2e3f4g5h6i7j8k9l0
R082,Benign_Paint,"rule Benign_Paint { meta: description = ""Detects Windows Paint"" author = ""CyberSecTeam"" date = ""2025-09-05"" strings: $s1 = ""mspaint.exe"" nocase $s2 = ""Microsoft Windows"" condition: $s1 and $s2 }",Benign,benign,none,['Windows'],d2e3f4g5h6i7j8k9l0m1
R083,APT29_CozyBear,"rule APT29_CozyBear { meta: description = ""Detects APT29 (Cozy Bear) activity"" author = ""CyberSecTeam"" date = ""2025-09-10"" strings: $s1 = ""cozybear"" nocase $s2 = ""seaduke"" condition: $s1 or $s2 }",Trojan,malicious,high,['Windows'],e3f4g5h6i7j8k9l0m1n2
R084,Benign_GitLab,"rule Benign_GitLab { meta: description = ""Detects GitLab server"" author = ""CyberSecTeam"" date = ""2025-09-15"" strings: $s1 = ""gitlab"" nocase $s2 = ""gitlab.com"" condition: $s1 and $s2 }",Benign,benign,none,['Linux'],f4g5h6i7j8k9l0m1n2o3
R085,APT33_Elfin,"rule APT33_Elfin { meta: description = ""Detects APT33 (Elfin) activity"" author = ""CyberSecTeam"" date = ""2025-09-20"" strings: $s1 = ""stonedrill"" nocase $s2 = ""shamoon"" condition: $s1 or $s2 }",Malware,malicious,critical,['Windows'],g5h6i7j8k9l0m1n2o3p4
R086,Benign_NotepadPlusPlus,"rule Benign_NotepadPlusPlus { meta: description = ""Detects Notepad++ editor"" author = ""CyberSecTeam"" date = ""2025-09-25"" strings: $s1 = ""notepad++.exe"" nocase $s2 = ""notepad-plus-plus.org"" condition: $s1 and $s2 }",Benign,benign,none,['Windows'],h6i7j8k9l0m1n2o3p4q5
R087,APT34_OilRig,"rule APT34_OilRig { meta: description = ""Detects APT34 (OilRig) activity"" author = ""CyberSecTeam"" date = ""2025-09-30"" strings: $s1 = ""oilrig"" nocase $s2 = ""twoface"" condition: $s1 or $s2 }",Trojan,malicious,high,['Windows'],i7j8k9l0m1n2o3p4q5r6
R088,Benign_Obsidian,"rule Benign_Obsidian { meta: description = ""Detects Obsidian note-taking app"" author = ""CyberSecTeam"" date = ""2025-10-05"" strings: $s1 = ""obsidian.exe"" nocase $s2 = ""obsidian.md"" condition: $s1 and $s2 }",Benign,benign,none,"['Windows', 'Linux']",j8k9l0m1n2o3p4q5r6s7
